TIME_STAMP	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier CQI CW0	Qualcomm Lte/LteAdv LL1 PUCCH CSF(Per TTI) Pri. Component Carrier Rank Index	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Frame Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier System Subframe Number	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier WideBand CQI CW0	Qualcomm Lte/LteAdv LL1 PUSCH CSF(Per TTI) Pri. Component Carrier Rank Index
2021-02-08 19:28:15.265635	474	6		Rank1				
2021-02-08 19:28:15.400760	478	6	15					
2021-02-08 19:28:15.409911	482	6		Rank1				
2021-02-08 19:28:15.410210	486	6	15					
2021-02-08 19:28:15.614684	490	6		Rank1				
2021-02-08 19:28:15.616765	494	6	15					
2021-02-08 19:28:15.617087	506	6		Rank1				
2021-02-08 19:28:15.617136					506	8	15	Rank1
2021-02-08 19:28:15.793933	510	6	15					
2021-02-08 19:28:15.796732	514	6		Rank1				
2021-02-08 19:28:15.799087	518	6	15					
2021-02-08 19:28:15.881920	522	6		Rank1				
2021-02-08 19:28:16.136616	538	6		Rank1				
2021-02-08 19:28:16.136669	542	6	15					
2021-02-08 19:28:16.501146	546	6		Rank1				
2021-02-08 19:28:16.501345	570	6		Rank1				
2021-02-08 19:28:16.601061	602	6		Rank1				
2021-02-08 19:28:16.601093					603	3	15	Rank1
2021-02-08 19:28:16.601208	606	6	15					
2021-02-08 19:28:16.604535	610	6		Rank1				
2021-02-08 19:28:16.720511	614	6	15					
2021-02-08 19:28:16.720687	618	6		Rank1				
2021-02-08 19:28:16.723973	622	6	15					
